ID_en,Name_en,global_id,AdmArea_en,District_en,Address_en,LocationDescription_en,Longitude_WGS84_en,Latitude_WGS84_en,CarCapacity_en,Mode_en,geoData
375,"Парковка такси по адресу Цветной бульвар, дом 15, строение 1",861508268,Czentral`ny'j administrativny'j okrug,Meshhanskij rajon,"Цветной бульвар, дом 15, строение 1",ТЦ «Цветной»,37.620985507965,55.7711962396432,5,круглосуточно,"{type=Point, coordinates=[37.620985507965, 55.7711962396432]}"
376,"Парковка такси по адресу улица Петровка, дом 10",861508269,Czentral`ny'j administrativny'j okrug,Tverskoj rajon,"улица Петровка, дом 10","улица Петровка, дом 10, вдоль проезжей части, «Петровский пассаж»",37.617991,55.762529,4,круглосуточно,"{type=Point, coordinates=[37.617991, 55.762529]}"
377,"Парковка такси по адресу улица Петровка, пересечение с улицей Кузнецкий мост",861508270,Czentral`ny'j administrativny'j okrug,Tverskoj rajon,"улица Петровка, пересечение с улицей Кузнецкий мост","улица Петровка, пересечение с улицей Кузнецкий мост",37.618539,55.761442,3,круглосуточно,"{type=Point, coordinates=[37.618539, 55.761442]}"
378,"Парковка такси по адресу улица Петровка, дом 12",861508271,Czentral`ny'j administrativny'j okrug,Tverskoj rajon,"улица Петровка, дом 12","улица Петровка, дом 12",37.618102,55.762768,3,круглосуточно,"{type=Point, coordinates=[37.618102, 55.762768]}"
379,"Парковка такси по адресу улица Петровка, дом 11",861508272,Czentral`ny'j administrativny'j okrug,Tverskoj rajon,"улица Петровка, дом 11",Гостиница «Марриотт»,37.616575,55.762905,3,круглосуточно,"{type=Point, coordinates=[37.616575, 55.762905]}"
380,"Парковка такси по адресу улица Петровка, дом 5",861508273,Czentral`ny'j administrativny'j okrug,Tverskoj rajon,"улица Петровка, дом 5",,37.618003,55.761861,3,круглосуточно,"{type=Point, coordinates=[37.618003, 55.761861]}"
381,"Парковка такси по адресу площадь Пречистенские Ворота, владение 1, строение 6",861508274,Czentral`ny'j administrativny'j okrug,rajon Xamovniki,"площадь Пречистенские Ворота, владение 1, строение 6",,37.6021242141723,55.7449232419277,3,круглосуточно,"{type=Point, coordinates=[37.6021242141723, 55.7449232419277]}"
383,"Парковка такси по адресу Котельническая набережная, дом 1/15",861508276,Czentral`ny'j administrativny'j okrug,Taganskij rajon,"Котельническая набережная, дом 1/15",На парковке перед кинотеатром «Иллюзион»,37.6450878381729,55.7480332171779,4,круглосуточно,"{type=Point, coordinates=[37.6450878381729, 55.7480332171779]}"
384,"Парковка такси по адресу улица Серафимовича, дом 2, корпус 8",861508277,Czentral`ny'j administrativny'j okrug,rajon Yakimanka,"улица Серафимовича, дом 2, корпус 8","Вдоль набережной при съезде с Большой Полянки на Болотную набережную, кинотеатр «Ударник»",37.6155138015747,55.7434043969338,2,круглосуточно,"{type=Point, coordinates=[37.6155138015747, 55.7434043969338]}"
385,"Парковка такси по адресу улица Волхонка, дом 13",861508278,Czentral`ny'j administrativny'j okrug,rajon Xamovniki,"улица Волхонка, дом 13",У галереи Ильи Глазунова,37.6063513755798,55.7465205320249,5,круглосуточно,"{type=Point, coordinates=[37.6063513755798, 55.7465205320249]}"
386,"Парковка такси по адресу улица Красная Пресня, дом 4",861508279,Czentral`ny'j administrativny'j okrug,Presnenskij rajon,"улица Красная Пресня, дом 4",В заездном кармане,37.5759109854698,55.761238791859,2,круглосуточно,"{type=Point, coordinates=[37.5759109854698, 55.761238791859]}"
387,Парковка такси по адресу улица Дружинниковская пересечение с улицей Красная Пресня,861508280,Czentral`ny'j administrativny'j okrug,Presnenskij rajon,Выход из станции метро «Краснопресненская»,Выход из станции метро «Краснопресненская»,37.575962,55.761264,2,круглосуточно,"{type=Point, coordinates=[37.575962, 55.761264]}"
388,"Парковка такси по адресу улица Дружинниковская, дом 15",861508281,Czentral`ny'j administrativny'j okrug,Presnenskij rajon,"улица Дружинниковская, дом 15",кинотеатр «Соловей»,37.574902,55.759567,2,круглосуточно,"{type=Point, coordinates=[37.574902, 55.759567]}"
389,"Парковка такси по адресу Краснопресненская набережная, дом 12",861508282,Czentral`ny'j administrativny'j okrug,Presnenskij rajon,"Краснопресненская набережная, дом 12",,37.556420,55.753562,6,круглосуточно,"{type=Point, coordinates=[37.55642, 55.753562]}"
390,"Парковка такси по адресу Краснопресненская набережная, дом 14",861508283,Czentral`ny'j administrativny'j okrug,Presnenskij rajon,"Краснопресненская набережная, дом 14",,37.547429,55.749633,3,круглосуточно,"{type=Point, coordinates=[37.547429, 55.749633]}"
